burst1,burst5,burst10
0.5764,0.5952,0.6212
0.5199,0.6028,0.6345
0.4218,0.599,0.6132
0.3889,0.6196,0.6121
0.3721,0.6232,0.6511
0.3339,0.5795,0.6372
0.3104,0.5809,0.6073
0.281,0.5904,0.633
0.2451,0.5602,0.6103
0.2143,0.5396,0.6248
0.1996,0.5586,0.6144
0.1758,0.5023,0.6096
0.1483,0.5112,0.5825
0.1431,0.4531,0.5522
0.1235,0.4336,0.5606
0.0995,0.4028,0.5472
0.1085,0.3589,0.5348
0.0994,0.3482,0.5097
0.0776,0.3287,0.5035
0.0915,0.3016,0.4443
0.0731,0.2762,0.406
0.0514,0.2495,0.3973
0.0589,0.2324,0.3938
0.0459,0.224,0.3686
0.0421,0.2003,0.3442
0.0366,0.1667,0.3188
0.038,0.1792,0.3135
0.0372,0.1559,0.2686
0.0275,0.1292,0.2168
0.0324,0.1139,0.2507
0.0283,0.1084,0.2069
0.0218,0.104,0.2011
0.02,0.1018,0.1685
0.0172,0.0946,0.1539
0.0137,0.0938,0.1377
0.0185,0.0701,0.148
0.0143,0.0701,0.1116
0.0113,0.05,0.1144
0.0103,0.051,0.0903
0.0106,0.0428,0.1012
0.0131,0.0384,0.0905
0.0067,0.0385,0.0664
0.0063,0.0308,0.0674
0.0052,0.0315,0.0612
0.0084,0.0297,0.0571
0.0063,0.0289,0.0571
0.0062,0.0183,0.0508
0.0067,0.027,0.0373
0.0038,0.0175,0.0372
0.0039,0.0197,0.0325
0.0039,0.0155,0.021
0.002,0.0132,0.0303
0.0047,0.0128,0.0273
0.0014,0.0114,0.0223
0.001,0.0093,0.0235
0.0036,0.0109,0.0238
0.0027,0.0059,0.0159
0.002,0.009,0.0132
0.0012,0.005,0.0161
0.0023,0.0068,0.0112
0.002,0.0041,0.0071
0.0001,0.0057,0.0105
0.0011,0.0031,0.0056
0.0016,0.007,0.0067
0.0004,0.0041,0.0077
0.001,0.0019,0.0079
0,0.0045,0.0044
0,0.0031,0.0023
0,0.001,0.0066
0,0.002,0.008
0.0007,0.0025,0.0047
0.0009,0.0035,0.0032
0.0006,0.0012,0.003
0.0006,0.0021,0.001
0,0.0001,0.0034
0,0.0025,0.0044
0.0005,0,0.0022
0.0003,0.0009,0.0027
0.0003,0,0.0012
0.0005,0.0013,0.0007
0.0001,0.0004,0.0016
0.0001,0.0007,0.0001
0,0.0013,0.0004
0,0.0001,0.0018
0.0002,0,0.0013
0.0001,0.0005,0.0002
0.0001,0.0011,0.0011
0,0.0006,0
0.0001,0.0007,0
0.0001,0.0006,0.0011
0.0001,0.0004,0.0007
0,0.0001,0.0005
0.0001,0.0005,0
0,0.0003,0.0006
0,0.0001,0
0.0001,0.0005,0.0007
0.0001,0.0001,0.0005
0,0,0
0.0001,0.0001,0.0004
0,0,0.0003
