Burst1,Burst50,Burst100,Burst150,Burst200
0.55423,0.60801,0.62291,0.61392,0.61483
0.5001,0.6222,0.61573,0.61503,0.62038
0.45629,0.61312,0.60961,0.61031,0.60771
0.41465,0.61332,0.62028,0.61947,0.6221
0.36769,0.61091,0.62647,0.61826,0.60731
0.32772,0.61694,0.62058,0.60861,0.62444
0.29386,0.62912,0.61543,0.60841,0.61342
0.27016,0.61453,0.61453,0.6221,0.61221
0.24642,0.61826,0.60761,0.62302,0.61091
0.21922,0.61031,0.61011,0.61543,0.61433
0.2004,0.61181,0.61181,0.61171,0.62322
0.1784,0.62576,0.61573,0.60741,0.61624
0.16139,0.60691,0.60851,0.62008,0.60951
0.14085,0.61041,0.61573,0.61553,0.62099
0.1311,0.60949,0.60461,0.61826,0.61473
0.12236,0.61622,0.60731,0.60961,0.61171
0.10649,0.60486,0.62994,0.61011,0.61282
0.09639,0.60877,0.61242,0.60123,0.61392
0.0848,0.60851,0.60203,0.61493,0.61001
0.07809,0.62019,0.60981,0.60971,0.61604
0.06924,0.61295,0.62373,0.61483,0.61553
0.05948,0.61178,0.61471,0.61342,0.61232
0.05507,0.61631,0.62568,0.60921,0.61332
0.05245,0.59732,0.61529,0.61886,0.61654
0.04612,0.60717,0.61493,0.61692,0.61262
0.04248,0.59916,0.61662,0.61833,0.60811
0.03451,0.57868,0.62272,0.60583,0.61372
0.03597,0.58047,0.6041,0.59968,0.62322
0.03246,0.56189,0.60631,0.61703,0.61495
0.02448,0.55778,0.61012,0.61251,0.61655
0.02563,0.52336,0.59975,0.60758,0.60892
0.02221,0.52,0.60451,0.61415,0.61218
0.02118,0.49432,0.59004,0.60827,0.60463
0.01943,0.47459,0.58948,0.60581,0.62589
0.01716,0.45666,0.57058,0.6106,0.61287
0.01314,0.43449,0.55363,0.59637,0.61451
0.01336,0.40519,0.54207,0.59024,0.60408
0.01285,0.38886,0.52828,0.58023,0.59377
0.01069,0.3684,0.51327,0.56649,0.59819
0.00916,0.33882,0.49038,0.55105,0.58718
0.00939,0.31288,0.46557,0.55387,0.57677
0.00819,0.29719,0.45131,0.53383,0.5717
0.00638,0.2712,0.42596,0.50278,0.55793
0.00671,0.24728,0.39851,0.49026,0.52681
0.00565,0.23398,0.37304,0.46401,0.51888
0.00576,0.20839,0.35175,0.44626,0.50914
0.00443,0.19954,0.32805,0.42002,0.47718
0.00439,0.1775,0.30663,0.40343,0.4626
0.0039,0.16849,0.2905,0.37134,0.4288
0.00357,0.15019,0.26425,0.35717,0.41179
0.00309,0.13862,0.24873,0.3322,0.39321
0.00339,0.12815,0.22946,0.30917,0.36378
0.00293,0.11749,0.20662,0.27941,0.34245
0.00225,0.10543,0.19027,0.25814,0.32328
0.00198,0.09569,0.17268,0.24256,0.29559
0.00144,0.08625,0.16153,0.22509,0.27752
0.00133,0.0794,0.14566,0.20122,0.25125
0.00111,0.07054,0.13257,0.18928,0.23854
0.00142,0.06659,0.12297,0.18267,0.21886
0.00093,0.05782,0.11264,0.16299,0.19995
0.0007,0.05246,0.1061,0.14631,0.18532
0.00104,0.04901,0.09255,0.13319,0.17157
0.00102,0.04444,0.08439,0.12194,0.15916
0.00078,0.03957,0.07492,0.10871,0.1434
0.00067,0.03565,0.06851,0.10366,0.13411
0.00049,0.03164,0.06014,0.09255,0.11943
0.00056,0.02891,0.05457,0.07912,0.10922
0.00026,0.02648,0.04925,0.07633,0.09904
0.00036,0.02253,0.04623,0.06772,0.08878
0.00075,0.01911,0.04053,0.06237,0.08033
0.00074,0.01964,0.04028,0.05424,0.07241
0.00012,0.01844,0.03639,0.05086,0.06593
0.00056,0.01561,0.03152,0.04595,0.05976
0.00015,0.01453,0.02607,0.04059,0.05655
0.0003,0.01229,0.02509,0.03871,0.05028
0.00038,0.01105,0.02311,0.03465,0.04652
0.00017,0.00983,0.01951,0.03102,0.04069
0.00011,0.00851,0.01739,0.02725,0.03597
0,0.0081,0.01622,0.02415,0.03276
0.0001,0.00755,0.01584,0.02365,0.03057
