Burst400,Burst600,Burst800,Burst1000,Burst1200
0.605,0.63908,0.61422,0.62412,0.6072
0.61764,0.61966,0.6048,0.62454,0.61362
0.61382,0.6082,0.6084,0.59786,0.62048
0.6225,0.61462,0.62028,0.6118,0.62028
0.62392,0.62108,0.6084,0.61826,0.62434
0.61926,0.6044,0.6064,0.6066,0.61462
0.6078,0.609,0.60302,0.6098,0.62454
0.61846,0.6114,0.6064,0.61966,0.61784
0.61764,0.61704,0.59174,0.61624,0.609
0.6106,0.6054,0.6221,0.62088,0.62434
0.61562,0.62312,0.6106,0.62008,0.606
0.62312,0.607,0.61846,0.62962,0.62698
0.61,0.61282,0.61502,0.612,0.62128
0.6058,0.62596,0.62008,0.5947,0.6096
0.61966,0.62372,0.61262,0.6082,0.61402
0.59786,0.61724,0.61886,0.60082,0.61624
0.60162,0.60402,0.6114,0.63168,0.6108
0.62574,0.62758,0.61946,0.6106,0.6116
0.61444,0.62312,0.62088,0.61542,0.6088
0.60166,0.61926,0.62108,0.61624,0.60342
0.6221,0.61988,0.6104,0.6122,0.6074
0.60574,0.61256,0.61196,0.6122,0.61804
0.59576,0.60188,0.61784,0.61314,0.60978
0.58268,0.59964,0.61634,0.62358,0.60398
0.55806,0.6028,0.61026,0.61742,0.63142
0.53452,0.57736,0.60606,0.61376,0.60576
0.4946,0.56414,0.59976,0.59886,0.61556
0.46002,0.52106,0.5683,0.60878,0.59962
0.41006,0.49826,0.55342,0.56114,0.60068
0.35904,0.45662,0.51064,0.53982,0.56812
0.31384,0.42012,0.46812,0.51202,0.5409
0.27712,0.3585,0.41906,0.46672,0.50462
0.23354,0.31588,0.36848,0.43968,0.46262
0.1897,0.2654,0.33576,0.3726,0.42232
0.16286,0.23102,0.2882,0.33204,0.37008
0.13944,0.19292,0.25794,0.29116,0.33542
0.1186,0.1661,0.20882,0.24446,0.2841
0.09468,0.13202,0.1739,0.2066,0.24552
0.07962,0.11448,0.1514,0.17638,0.21414
0.06822,0.09206,0.12258,0.14986,0.17194
0.05814,0.07412,0.09752,0.12832,0.13826
0.04346,0.06372,0.08366,0.09844,0.12526
0.03934,0.05178,0.06636,0.08646,0.09968
0.0303,0.04544,0.05788,0.0703,0.07936
0.02402,0.03462,0.04466,0.05694,0.07012
0.02,0.02816,0.0378,0.04586,0.05822
0.0156,0.02312,0.03212,0.0388,0.04822
0.01142,0.01832,0.02206,0.03142,0.03992
0.01236,0.01746,0.02226,0.02544,0.03418
0.00806,0.01246,0.01796,0.02016,0.02526
0.0078,0.00998,0.01294,0.01792,0.02196
0.00546,0.00814,0.01232,0.01504,0.01686
0.00364,0.00546,0.0096,0.01146,0.01478
0.00398,0.00514,0.0077,0.0071,0.0113
0.00232,0.00368,0.00602,0.00662,0.00964
0.00316,0.00402,0.00402,0.00574,0.00712
0.0027,0.00418,0.00392,0.00552,0.00602
0.00218,0.00246,0.00198,0.0039,0.00556
0.00108,0.0015,0.00304,0.00246,0.0043
0.00136,0.00194,0.00234,0.0029,0.00402
0.0007,0.00158,0.0014,0.00178,0.00196
0.0004,0.00112,0.00182,0.00204,0.00224
0.00094,0.00108,0.00152,0.00224,0.00194
0.00056,0.00066,0.00126,0.00118,0.00168
0.00032,0.00098,0.0005,0.00118,0.00102
0.00016,0.00074,0.00104,0.00098,0.0009
6e-05,0.00062,0.00074,0.00108,0.00078
0.0004,0.00048,0.00016,0.00028,0.00048
0.00034,0.00012,0.00068,0.00026,0.00078
0.00022,0.00016,0.00046,0.0005,0.00022
6e-05,6e-05,0.00034,0.0002,0.00024
0,6e-05,6e-05,2e-05,0.00032
0.0002,0.00022,0.00032,0.0001,0.00012
0.0002,0.00012,0.00018,0,0
6e-05,0.00014,8e-05,0.00012,0.0001
0,0.0001,0.00012,0.0001,0.00018
2e-05,4e-05,0.00018,0.00012,0
6e-05,8e-05,6e-05,0.00012,8e-05
2e-05,8e-05,6e-05,6e-05,4e-05
2e-05,6e-05,2e-05,8e-05,4e-05
2e-05,4e-05,4e-05,0.00012,2e-05
0,0,4e-05,4e-05,4e-05
0,0,4e-05,0,4e-05
6e-05,0,2e-05,2e-05,4e-05
0,4e-05,2e-05,4e-05,0
0,4e-05,0,0,0
2e-05,0,0,0,0
0,0,0,2e-05,4e-05
0,0,2e-05,0,2e-05
0,0,0,2e-05,0
0,0,2e-05,2e-05,0
0,0,2e-05,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4e-05,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
