Decoy,threeStage,E91
0.1603,0.5699,0.4085
0.1454,0.6042,0.3668
0.1442,0.6325,0.3522
0.1231,0.5971,0.3284
0.1201,0.6071,0.29
0.1148,0.5716,0.2891
0.1088,0.5723,0.2638
0.1087,0.5399,0.252
0.101,0.5162,0.217
0.092,0.4507,0.2198
0.0798,0.4281,0.2032
0.0788,0.377,0.1821
0.0719,0.3331,0.172
0.0676,0.2884,0.1699
0.0621,0.2474,0.1653
0.0592,0.2039,0.1387
0.0559,0.1694,0.1374
0.0512,0.1494,0.1215
0.0477,0.1146,0.1142
0.047,0.0951,0.1205
0.0389,0.085,0.1047
0.0362,0.0595,0.0928
0.0364,0.0518,0.0824
0.0327,0.0345,0.0779
0.0352,0.0312,0.0707
0.0319,0.0253,0.0679
0.0276,0.0192,0.0635
0.0268,0.0207,0.0618
0.0194,0.0164,0.0598
0.023,0.0097,0.0549
0.0188,0.0093,0.0448
0.0189,0.0073,0.0455
0.0134,0.0055,0.0466
0.0163,0.0034,0.0404
0.0169,0.0027,0.0363
0.0132,0.0025,0.0383
0.0107,0.0022,0.0353
0.013,0.0017,0.0323
0.0116,0.0017,0.0313
0.012,0,0.0295
0.0112,0.0007,0.0203
0.009,0.0007,0.0222
0.0079,0.0013,0.0213
0.0081,0.001,0.0212
0.0096,0.0009,0.0187
0.0058,0.0011,0.0188
0.0053,0,0.0159
0.0067,0,0.0106
0.0053,0.0002,0.0129
0.0061,0.0002,0.0135
0.0052,0.0001,0.0124
0.0049,0.0002,0.0085
0.0038,0,0.0104
0.0037,0,0.0107
0.0047,0.0001,0.0059
0.0041,0,0.0092
0.0043,0,0.0075
0.0024,0.0002,0.0082
0.0018,0.0001,0.0063
0.0015,0,0.0061
