Burst100,Burst1000,Burst10000,Burst100000,Burst1000000
0.6012,0.5992,0.6102,0.6314,0.6012
0.6521,0.6122,0.649,0.5903,0.6273
0.6325,0.6162,0.6172,0.6032,0.6294
0.6132,0.6335,0.5972,0.6263,0.6273
0.6002,0.6162,0.6052,0.6355,0.6243
0.6032,0.6042,0.6376,0.6294,0.6304
0.6223,0.6345,0.6212,0.6032,0.6397
0.6366,0.6479,0.6092,0.6062,0.5943
0.6022,0.6082,0.6092,0.5992,0.6253
0.6122,0.5923,0.6062,0.6273,0.6212
0.6284,0.6042,0.6172,0.6032,0.6273
0.6092,0.5864,0.6284,0.6386,0.5903
0.6082,0.5972,0.5923,0.6102,0.6355
0.6142,0.6212,0.6152,0.6243,0.6042
0.5913,0.6092,0.5952,0.5972,0.6072
0.6102,0.6233,0.6223,0.6284,0.6243
0.5903,0.6345,0.6212,0.6294,0.6202
0.6212,0.6132,0.6243,0.6243,0.6212
0.6335,0.6142,0.6062,0.6022,0.6376
0.6345,0.6202,0.6102,0.6032,0.6243
0.6553,0.6294,0.6092,0.6314,0.6253
0.6182,0.5796,0.5864,0.6335,0.6605
0.6151,0.6142,0.6325,0.6072,0.6223
0.6079,0.6469,0.6253,0.6062,0.6002
0.6187,0.5992,0.6152,0.6092,0.6002
0.6125,0.6102,0.6284,0.6122,0.6152
0.6119,0.6325,0.6202,0.6223,0.6072
0.5822,0.6417,0.6233,0.6304,0.6563
0.6088,0.6223,0.5893,0.5962,0.6172
0.6175,0.5805,0.5943,0.6092,0.6284
0.6232,0.6243,0.5992,0.6584,0.6022
0.5836,0.6042,0.5982,0.6102,0.5982
0.5569,0.6253,0.6202,0.6122,0.6122
0.5935,0.6192,0.6102,0.6132,0.5796
0.5669,0.5982,0.6102,0.6192,0.6202
0.5748,0.6172,0.5962,0.6355,0.6345
0.5274,0.6052,0.6152,0.6192,0.6212
0.518,0.6092,0.6459,0.6253,0.6202
0.5026,0.6253,0.5893,0.6366,0.6233
0.501,0.5854,0.6112,0.6102,0.6233
0.472,0.6092,0.5864,0.6172,0.6355
0.4346,0.6162,0.6002,0.6233,0.6102
0.4297,0.6092,0.6314,0.6223,0.6192
0.3942,0.6294,0.5962,0.6223,0.6355
0.378,0.6052,0.6376,0.6132,0.6511
0.342,0.6201,0.6223,0.5943,0.6192
0.332,0.6027,0.6202,0.6082,0.5992
0.2836,0.5987,0.6397,0.5903,0.6152
0.2844,0.6191,0.6092,0.6479,0.6052
0.2756,0.6275,0.6263,0.6325,0.6042
0.2585,0.5878,0.6082,0.6345,0.5962
0.2216,0.6025,0.6192,0.6233,0.5962
0.1963,0.6059,0.6132,0.6284,0.6042
0.1824,0.5925,0.5943,0.6304,0.5893
0.1766,0.5458,0.5864,0.6376,0.6325
0.1582,0.5914,0.6122,0.6072,0.5854
0.1601,0.5743,0.5982,0.6243,0.5913
0.1461,0.5415,0.6386,0.6202,0.6243
0.1364,0.5289,0.6042,0.6022,0.6142
0.1254,0.5152,0.6233,0.5893,0.5844
0.1042,0.496,0.6142,0.6042,0.6355
0.099,0.5055,0.6294,0.6386,0.6428
0.0907,0.4512,0.6273,0.5972,0.6376
0.0887,0.4594,0.6052,0.6202,0.6052
0.0645,0.4209,0.6111,0.6122,0.6202
0.0548,0.4089,0.5864,0.6469,0.6092
0.0557,0.3766,0.6233,0.6202,0.6062
0.052,0.3584,0.6132,0.6397,0.5952
0.0475,0.3037,0.5996,0.6122,0.6202
0.0465,0.3161,0.5792,0.6162,0.5815
0.0415,0.2882,0.5897,0.6253,0.6294
0.0288,0.2727,0.6118,0.5884,0.5982
0.0303,0.2592,0.6075,0.5992,0.6112
0.031,0.2133,0.6163,0.6233,0.5913
0.0262,0.2055,0.6181,0.6563,0.6172
0.0179,0.1942,0.6319,0.6122,0.6012
0.0196,0.1829,0.61,0.6233,0.6233
0.0117,0.1694,0.6063,0.5835,0.5874
0.0163,0.1415,0.5841,0.6092,0.6263
0.0159,0.143,0.5547,0.5952,0.5992
0.0141,0.1206,0.5703,0.5805,0.6072
0.015,0.1224,0.5241,0.6263,0.6082
0.0161,0.101,0.5105,0.6243,0.6553
0.013,0.0923,0.4859,0.6314,0.6273
0.0086,0.0803,0.4789,0.6366,0.6162
0.0054,0.0758,0.4593,0.6637,0.6152
0.0073,0.0748,0.4233,0.6122,0.6172
0.0042,0.0641,0.4269,0.6335,0.6386
0.0088,0.0654,0.4076,0.6202,0.6142
0.0052,0.0497,0.3414,0.6324,0.6263
0.004,0.0407,0.3312,0.6232,0.6022
0.0066,0.0413,0.3008,0.6018,0.5982
0.006,0.0405,0.2921,0.5908,0.6212
0.0052,0.0365,0.2746,0.6343,0.6243
0.0045,0.03,0.2229,0.6379,0.6304
0.0018,0.0313,0.2491,0.6397,0.6012
0.0022,0.0243,0.2133,0.6131,0.6022
0.0012,0.0193,0.1854,0.5943,0.6243
0.0006,0.0182,0.188,0.5969,0.6243
0.0013,0.0196,0.1608,0.6001,0.6112
0.0026,0.0136,0.1507,0.5915,0.6042
0.003,0.0182,0.1397,0.5922,0.6072
0.0003,0.0179,0.1256,0.5701,0.6273
0.0022,0.0156,0.1156,0.5328,0.6314
0,0.0122,0.1047,0.5251,0.6072
0.0019,0.0106,0.0843,0.5015,0.6082
0.0015,0.0105,0.0927,0.48,0.6042
0.0015,0.0072,0.0719,0.474,0.6647
0.0008,0.0085,0.082,0.4362,0.6294
0.0007,0.0076,0.0672,0.4036,0.6192
0.0014,0.0076,0.0581,0.4077,0.6345
0.0007,0.0057,0.0526,0.3702,0.5803
0.0008,0.0088,0.0537,0.3375,0.5969
0.001,0.0049,0.0514,0.3163,0.6074
0.0005,0.0028,0.0377,0.317,0.615
0.0005,0.0062,0.0367,0.2523,0.6372
0.0004,0.0031,0.0312,0.2662,0.6095
0.0006,0.0013,0.0342,0.2347,0.5831
0.0002,0.0024,0.03,0.2101,0.6306
0.0001,0.003,0.024,0.1804,0.6216
0.0003,0.0037,0.0294,0.182,0.6077
0,0.0032,0.0141,0.1678,0.5838
0.0003,0.0019,0.0165,0.1448,0.5634
0.0002,0.0025,0.0155,0.135,0.5451
0,0.0021,0.013,0.1357,0.5674
0.0006,0.0003,0.01,0.1123,0.5244
0.0004,0.001,0.0126,0.1112,0.5148
0.0003,0,0.0116,0.0865,0.5116
0.0004,0.0021,0.0061,0.0748,0.4628
0,0.0003,0.0091,0.0791,0.4577
0.0002,0.0013,0.0082,0.0599,0.4317
0.0002,0.0013,0.0101,0.061,0.4145
0.0002,0.0009,0.0065,0.0514,0.3905
0.0001,0.0004,0.0067,0.059,0.3426
0.0001,0.0008,0.007,0.0584,0.3512
0,0.0005,0.0049,0.0549,0.3243
0,0.0004,0.0031,0.0341,0.2888
0.0002,0.0003,0.0042,0.0276,0.2731
0,0.001,0.003,0.0292,0.2617
0,0.0004,0.0033,0.0309,0.2531
0.0002,0.0002,0.0036,0.0261,0.2027
0.0001,0.0003,0.0037,0.0248,0.2027
0,0.0001,0.0014,0.0211,0.1899
0,0.0002,0.0004,0.0206,0.1831
0,0.0005,0.0026,0.0178,0.1682
0,0.0002,0.0006,0.0189,0.1488
0.0001,0.0004,0.0007,0.0148,0.1342
0.0001,0.0002,0.0008,0.014,0.1144
0,0.0001,0.0018,0.0122,0.1083
0,0.0003,0.0007,0.0083,0.104
