Line,3x3 Square,Ring,Star
0.6202,1.2365,0.6022,0.7644
0.6062,1.2344,0.6072,0.4285
0.5903,1.1936,0.5972,0.2468
0.6071,1.2375,0.5992,0.1419
0.6092,1.1976,0.5903,0.0763
0.6147,1.2064,0.5981,0.047
0.6122,1.1985,0.5851,0.0282
0.6025,1.2269,0.6088,0.015
0.6064,1.2067,0.583,0.0093
0.5943,1.2069,0.6107,0.0032
0.5738,1.1963,0.5838,0.0046
0.5604,1.1995,0.5938,0.0021
0.581,1.2095,0.576,0.0007
0.5656,1.2314,0.584,0.0003
0.5687,1.1449,0.5947,0.0002
0.5499,1.2222,0.5554,0.0002
0.5215,1.1833,0.5689,0.0001
0.4792,1.1402,0.5615,0.0001
0.4653,1.18,0.5375,0
0.4565,1.1016,0.537,0
0.4389,1.1165,0.5067,0
0.4016,1.0989,0.4928,0
0.3892,1.0671,0.4974,0
0.3761,1.0483,0.4609,0
0.3536,1.0489,0.4706,0
0.3123,0.9892,0.4504,0
0.2937,0.9659,0.4087,0
0.28,0.909,0.4146,0
0.2356,0.9028,0.3824,0
0.2163,0.8671,0.3559,0
0.2109,0.8212,0.3331,0
0.1908,0.79,0.3338,0
0.1699,0.7507,0.3097,0
0.1681,0.7391,0.2965,0
0.1489,0.6845,0.2686,0
0.122,0.6229,0.2495,0
0.1189,0.5908,0.2293,0
0.1019,0.5816,0.2317,0
0.1006,0.5593,0.2163,0
0.0942,0.5322,0.206,0
0.0852,0.5002,0.201,0
0.0668,0.458,0.165,0
0.0598,0.4513,0.1618,0
0.0593,0.4327,0.148,0
0.0563,0.381,0.1343,0
0.0428,0.3268,0.1234,0
0.0471,0.3425,0.1271,0
0.0372,0.3117,0.1071,0
0.0303,0.2866,0.097,0
0.0382,0.2784,0.0962,0
