Decoy,Three_Stage,E91,E91_Repeater
0.17361,0.62008,0.40678,0.30084
0.16016,0.61835,0.37343,0.30275
0.15098,0.61905,0.34808,0.30664
0.13652,0.61254,0.3315,0.30581
0.12987,0.60759,0.30646,0.30504
0.12279,0.60154,0.28407,0.30954
0.11366,0.57998,0.26736,0.30602
0.10559,0.55579,0.24517,0.30999
0.09766,0.51966,0.23755,0.30427
0.09328,0.47947,0.21813,0.30059
0.08646,0.42788,0.20604,0.29973
0.08084,0.39142,0.18704,0.30527
0.07316,0.33838,0.1762,0.30655
0.06995,0.28523,0.16787,0.30355
0.06197,0.24411,0.15601,0.29917
0.05923,0.20626,0.1401,0.29892
0.05847,0.17457,0.13588,0.29824
0.0512,0.14764,0.12075,0.29091
0.04695,0.12091,0.11825,0.28627
0.04842,0.10119,0.10695,0.28706
0.0419,0.08574,0.10388,0.29198
0.0391,0.07002,0.09464,0.28116
0.03704,0.05702,0.08903,0.27811
0.03523,0.04539,0.08232,0.27913
0.03236,0.03526,0.07667,0.27421
0.03126,0.02767,0.07358,0.26506
0.02898,0.02631,0.06599,0.25751
0.02523,0.0205,0.06458,0.25159
0.02614,0.01594,0.06073,0.25216
0.02323,0.01189,0.05612,0.2428
0.0214,0.00992,0.05307,0.23447
0.02156,0.00954,0.04768,0.23189
0.0198,0.00775,0.04609,0.22944
0.01723,0.00605,0.04211,0.22424
0.01751,0.00467,0.03872,0.21132
0.01535,0.00412,0.03521,0.20738
0.01402,0.00312,0.03227,0.20033
0.01399,0.00241,0.03122,0.19483
0.0119,0.00165,0.03006,0.18957
0.01115,0.00156,0.02746,0.18339
0.01019,0.00142,0.02572,0.17749
0.01136,0.00065,0.02353,0.1711
0.0095,0.00092,0.02202,0.16663
0.00888,0.00059,0.02138,0.15991
0.00799,0.00065,0.01999,0.15531
0.00854,0.00035,0.01796,0.14747
0.00673,0.00064,0.01773,0.14049
0.0067,0.00022,0.01557,0.13404
0.00645,0.00047,0.01454,0.12518
0.00548,0.00037,0.01343,0.12607
0.00536,0.00015,0.0125,0.11446
0.00481,0.00013,0.01137,0.11519
0.00468,0.00017,0.01147,0.10626
0.00441,2e-05,0.01025,0.10327
0.00343,0.00011,0.00895,0.09694
0.00368,0,0.00859,0.09357
0.00363,0,0.00853,0.08569
0.0033,0,0.00768,0.08271
0.00316,5e-05,0.00768,0.07981
0.00302,4e-05,0.00697,0.07621
0.00265,5e-05,0.00726,0.06984
0.00231,2e-05,0.00584,0.06764
0.00207,2e-05,0.00594,0.06327
0.00214,2e-05,0.00518,0.06036
0.00219,1e-05,0.00534,0.05686
0.00196,0,0.0042,0.05588
0.0021,0,0.00368,0.05153
0.0017,1e-05,0.00377,0.04916
0.00129,1e-05,0.00361,0.0472
0.00135,1e-05,0.00346,0.0442
0.00146,0,0.00284,0.04239
0.00128,0,0.00306,0.03645
0.00117,0,0.00285,0.03652
0.00095,0,0.00272,0.03541
0.00092,0,0.00212,0.03237
0.00095,0,0.0021,0.03235
0.00114,0,0.00229,0.03042
0.00057,0,0.00148,0.02894
0.00088,0,0.00194,0.02527
0.00065,0,0.00176,0.02539
0.00047,0,0.00167,0.02457
0.00081,0,0.00136,0.02111
0.00043,0,0.00139,0.01932
0.00088,0,0.00141,0.02002
0.00053,0,0.00139,0.01726
0.00046,0,0.00108,0.01554
0.00044,0,0.00118,0.01534
0.00047,0,0.00102,0.01488
0.00049,0,0.00084,0.01469
0.00041,0,0.00075,0.01239
0.00034,0,0.00083,0.01225
0.00044,0,0.00088,0.01133
0.00015,0,0.00072,0.01038
0.00017,0,0.00059,0.01024
0.00024,0,0.00048,0.00873
0.00012,0,0.00057,0.00967
0.00021,0,0.00055,0.00889
0.00025,0,0.00027,0.00807
0.00021,0,0.00039,0.00752
0.00019,0,0.00047,0.0078
0.00023,0,0.00026,0.00724
0.00014,0,0.00044,0.00662
0.00012,0,0.00033,0.00524
0.00021,0,0.00046,0.00493
0.00016,0,0.00039,0.00507
9e-05,0,1e-05,0.00422
0.00013,0,0.00032,0.00379
8e-05,0,0.0003,0.00423
8e-05,0,0.00024,0.00387
1e-05,0,0.00023,0.00452
0.00013,0,0.00015,0.00394
1e-05,0,0.00021,0.00287
8e-05,0,0.00028,0.00328
8e-05,0,0.00019,0.00261
7e-05,0,0.00018,0.0029
7e-05,0,0.00012,0.00255
9e-05,0,0.00017,0.00284
0,0,9e-05,0.00242
6e-05,0,0.00018,0.0025
0.0001,0,0.00015,0.00183
6e-05,0,0.00014,0.00149
1e-05,0,7e-05,0.00184
4e-05,0,9e-05,0.00207
5e-05,0,9e-05,0.00176
4e-05,0,0,0.00143
